quantity,review,fname,orderid
13,Spring rolls is usefully equable,Spring rolls,4032
4,Pork bulgogi is exactly sudden,Pork bulgogi,4032
5,French fries is seriously quirky,French fries,4032
6,Goi cuon is oddly certain,Goi cuon,4033
13,Hash browns is loosely sparkling,Hash browns,4033
10,Risotto is devotedly blue-eyed,Risotto,4033
21,Tofu is mockingly political,Tofu,4033
21,Sour soup is enthusiastically dreary,Sour soup,4034
22,Ossobuco is innocently stiff,Ossobuco,4034
2,Hot and sour soup is probably dapper,Hot and sour soup,4034
23,Apple pie is honestly wanting,Apple pie,4034
4,Chiles en nogada is kookily lucky,Chiles en nogada,4034
14,Tofu is eagerly disillusioned,Tofu,4034
5,Spaghetti Carbonara is sternly zealous,Spaghetti Carbonara,4034
15,Fish kidney curry is unabashedly normal,Fish kidney curry,4034
6,Kimchi stew is crazily actually,Kimchi stew,4034
5,Tom yum goong is bleakly zesty,Tom yum goong,4034
13,Tacos al pastor is queerly tender,Tacos al pastor,4034
22,Murg makhani is busily loutish,Murg makhani,4035
8,Papdi chaat is fairly graceful,Papdi chaat,4035
13,Bakso is doubtfully apathetic,Bakso,4035
5,Palak paneer is extremely graceful,Palak paneer,4035
4,Doughnut is oddly quiet,Doughnut,4035
9,Cheeseburger is briskly mixed,Cheeseburger,4035
25,Spicy stir fried octopus is playfully wasteful,Spicy stir fried octopus,4035
4,Bhajji is significantly fast,Bhajji,4035
5,Guacamole is too serious,Guacamole,4035
21,Donburi is deftly rigid,Donburi,4036
17,Sichuan pork is boastfully pink,Sichuan pork,4036
10,Pork bulgogi is else drunk,Pork bulgogi,4036
33,Polenta is officially mundane,Polenta,4036
2,Sate is wisely plausible,Sate,4036
21,Ramen is coyly kaput,Ramen,4036
12,Pizza is then naive,Pizza,4037
5,Noodles is poorly substantial,Noodles,4037
7,Sushi is meaningfully delicate,Sushi,4037
6,Beef rendang is viciously future,Beef rendang,4037
14,Cheeseburger is neatly embarrassed,Cheeseburger,4037
9,Mole is diligently decent,Mole,4037
22,Tandoori chicken is fortunately zealous,Tandoori chicken,4037
4,Natto is uselessly cool,Natto,4037
23,Goi cuon is sweetly milky,Goi cuon,4038
12,Nem ran is fully robust,Nem ran,4038
6,Curry fish head is solemnly dangerous,Curry fish head,4038
13,Ribollita is colorfully sudden,Ribollita,4038
10,Rawon is intensely foregoing,Rawon,4038
21,Green curry chicken is instead confident,Green curry chicken,4038
11,Spaghetti Carbonara is yieldingly puzzled,Spaghetti Carbonara,4038
4,Bibimbap is clearly kaput,Bibimbap,4038
6,Mole is possibly logical,Mole,4039
14,Hash browns is rigidly spurious,Hash browns,4039
4,Curry fish head is fervently general,Curry fish head,4039
30,Chicken galangal soup is bitterly meaty,Chicken galangal soup,4039
9,Chocolate chip cookie is limply delicious,Chocolate chip cookie,4039
6,Enchiladas is suddenly dangerous,Enchiladas,4039
3,Chicken galangal soup is instead nonchalant,Chicken galangal soup,4040
13,Bak kut teh is soon painful,Bak kut teh,4040
20,Bibimbap is slightly willing,Bibimbap,4040
4,Pizza is quaintly demonic,Pizza,4040
9,Tacos al pastor is upside-down necessary,Tacos al pastor,4040
8,Cha ca is mortally cooperative,Cha ca,4040
15,Macaroni and Cheese is altogether free,Macaroni and Cheese,4040
5,Tempura is justly bright,Tempura,4040
21,Enchiladas is nearly somber,Enchiladas,4041
24,Samgyeopsal is readily stormy,Samgyeopsal,4041
22,Spaghetti Aglio Olio is vaguely smiling,Spaghetti Aglio Olio,4041
10,Tamales is reproachfully meaty,Tamales,4041
7,Nem ran is awkwardly decent,Nem ran,4041
9,Korma is only piquant,Korma,4041
13,Isaan soup is unnaturally childlike,Isaan soup,4041
9,Risotto is elegantly dreary,Risotto,4042
19,Mole is forth oval,Mole,4042
4,Chicken galangal soup is quickly oval,Chicken galangal soup,4042
9,Oyster omelette is cleverly soggy,Oyster omelette,4042
10,Chicken wings is gently childlike,Chicken wings,4042
2,Udon is heavily merciful,Udon,4042
9,Banh xeo is partially painful,Banh xeo,4043
30,Sashimi is nervously reflective,Sashimi,4043
9,Spring rolls is intensely resolute,Spring rolls,4043
8,Bhajji is slightly consistent,Bhajji,4043
17,Goi cuon is closely acoustic,Goi cuon,4043
24,Isaan soup is potentially flat,Isaan soup,4043
11,Cao lau is generally willing,Cao lau,4043
2,Sundubu jjigae is originally small,Sundubu jjigae,4043
18,Apple pie is merrily new,Apple pie,4043
5,Rau muong is owlishly savory,Rau muong,4043
18,Paratha is owlishly well-to-do,Paratha,4043
12,Chicken with chestnuts is politely fine,Chicken with chestnuts,4044
11,Bhajji is fortunately spiky,Bhajji,4044
8,Sashimi is queerly guiltless,Sashimi,4044
20,Soba is merely frightened,Soba,4045
4,Lasagna is abnormally resonant,Lasagna,4045
4,Isaan soup is moreover dependent,Isaan soup,4045
12,Thai hanglay curry is colorfully weak,Thai hanglay curry,4045
10,Szechwan chilli chicken is strictly staking,Szechwan chilli chicken,4046
17,Ga tan is fast basic,Ga tan,4046
15,Chiles en nogada is daintily gentle,Chiles en nogada,4046
10,Bakso is monthly odd,Bakso,4046
21,Chilaquiles is possibly lucky,Chilaquiles,4046
10,Tamales is searchingly freezing,Tamales,4046
6,Bibimbap is yawningly dapper,Bibimbap,4046
8,Ramen is offensively kind,Ramen,4046
27,Ayam goreng is intensely temporary,Ayam goreng,4046
7,Risotto is fortunately vacuous,Risotto,4046
27,Kimchi stew is unexpectedly best,Kimchi stew,4046
4,Banh xeo is weekly tart,Banh xeo,4046
10,Sate is unethically necessary,Sate,4046
12,Cantonese chicken soup is hardly cooperative,Cantonese chicken soup,4046
30,Spaghetti Carbonara is powerfully attractive,Spaghetti Carbonara,4047
15,Hash browns is unexpectedly lazy,Hash browns,4047
8,Fish kidney curry is elegantly sexual,Fish kidney curry,4047
18,Chole is joshingly big,Chole,4047
31,Chicken rice is unethically acceptable,Chicken rice,4047
19,Nasi goreng is eventually immediate,Nasi goreng,4047
11,Vegetable fried rice is fiercely glamorous,Vegetable fried rice,4047
2,Dim sum is slightly mushy,Dim sum,4047
2,Fish stew is truthfully piquant,Fish stew,4047
12,Banh khot is instantly obtainable,Banh khot,4047
18,Sate is ferociously highfalutin,Sate,4048
2,Chicken galangal soup is sharply decisive,Chicken galangal soup,4048
19,Enchiladas is likely rich,Enchiladas,4048
15,Chicken rice is completely special,Chicken rice,4048
8,Goi cuon is definitely short,Goi cuon,4048
4,Szechwan chilli chicken is unnaturally abashed,Szechwan chilli chicken,4048
18,Spaghetti Carbonara is actually political,Spaghetti Carbonara,4048
15,Ga tan is upliftingly tacit,Ga tan,4048
13,Hokkien prawn mee is usefully spooky,Hokkien prawn mee,4048
14,Sashimi is soon bouncy,Sashimi,4048
30,Enchiladas is diligently foregoing,Enchiladas,4049
16,Pozole is eagerly jaded,Pozole,4049
15,Curry fish head is monthly milky,Curry fish head,4049
3,Sashimi is significantly bite-sized,Sashimi,4049
23,Udon is specifically blue-eyed,Udon,4049
26,Spaghetti Aglio Olio is kiddingly shiny,Spaghetti Aglio Olio,4049
4,Chicken rice is lightly shocking,Chicken rice,4049
18,Tostadas is strictly graceful,Tostadas,4049
4,Rujak cingur is soon reflective,Rujak cingur,4050
9,Sundubu jjigae is frequently dramatic,Sundubu jjigae,4050
8,Wanton mee is regularly spiky,Wanton mee,4050
23,Bak kut teh is usually consistent,Bak kut teh,4050
26,Chicken tikka masala is zealously shaky,Chicken tikka masala,4050
14,Ossobuco is recently abashed,Ossobuco,4050
19,Noodles is fatally dull,Noodles,4050
8,Gogigui is actually painful,Gogigui,4051
2,Nasi goreng is twice tan,Nasi goreng,4051
6,Bak chor mee is fortunately actually,Bak chor mee,4051
10,Ayam goreng is willfully overrated,Ayam goreng,4051
4,Murg makhani is elsewhere shaky,Murg makhani,4051
6,Papdi chaat is jubilantly foreign,Papdi chaat,4051
9,Pozole is triumphantly hospitable,Pozole,4051
8,Cao lau is limply beneficial,Cao lau,4051
6,Risotto is silently fast,Risotto,4051
14,Pork bulgogi is eventually blue-eyed,Pork bulgogi,4051
6,Chicken with chestnuts is kookily glistening,Chicken with chestnuts,4051
12,Pho is scarcely piquant,Pho,4051
2,Fried chicken is hardly free,Fried chicken,4051
12,Laksa is curiously like,Laksa,4051
17,Chocolate chip cookie is wisely far-flung,Chocolate chip cookie,4052
29,Bibimbap is definitely lush,Bibimbap,4052
7,Chicken with chestnuts is frightfully fixed,Chicken with chestnuts,4052
28,Bun bo hue is painfully classy,Bun bo hue,4052
5,Gado gado is perfectly well-to-do,Gado gado,4052
5,Noodles is boastfully apathetic,Noodles,4052
3,Boiled vegetable soup is unimpressively terrific,Boiled vegetable soup,4052
24,Steak is then big,Steak,4053
11,Curry fish head is unexpectedly spotless,Curry fish head,4053
15,Spaghetti Aglio Olio is essentially quiet,Spaghetti Aglio Olio,4053
4,Fried carrot cake is upside-down naive,Fried carrot cake,4053
16,Kimchi is separately adventurous,Kimchi,4053
4,Natto is tightly didactic,Natto,4053
16,Spring rolls is broadly bright,Spring rolls,4054
3,Ossobuco is abnormally vast,Ossobuco,4054
10,Doughnut is verbally amuck,Doughnut,4054
14,Fried chicken is properly delicate,Fried chicken,4054
3,Chicken with chestnuts is zestily wicked,Chicken with chestnuts,4054
10,Spaghetti Aglio Olio is anxiously sturdy,Spaghetti Aglio Olio,4054
25,Tostadas is needily far-flung,Tostadas,4055
15,Stir fried tofu with rice is suspiciously damaged,Stir fried tofu with rice,4055
26,Sundubu jjigae is cautiously elated,Sundubu jjigae,4055
4,Ramyeon is limply slim,Ramyeon,4055
13,Ossobuco is utterly brainy,Ossobuco,4055
6,Banh xeo is obediently sturdy,Banh xeo,4056
7,Kaya toast is mainly classy,Kaya toast,4056
8,Soto is definitely upbeat,Soto,4056
33,Banh khot is seldom several,Banh khot,4056
20,Coconut milk curry is likely zany,Coconut milk curry,4056
10,Isaan soup is fairly attractive,Isaan soup,4056
4,Pizza is never ragged,Pizza,4056
13,Nasi goreng is clearly vacuous,Nasi goreng,4056
10,Polenta is quarrelsomely grubby,Polenta,4057
19,Curry fish head is coolly spiky,Curry fish head,4057
9,Chicken wings is anxiously blue-eyed,Chicken wings,4057
4,Chiles en nogada is mockingly basic,Chiles en nogada,4057
14,Wanton mee is powerfully rampant,Wanton mee,4057
3,Coconut milk curry is mysteriously piquant,Coconut milk curry,4057
5,Pozole is properly regular,Pozole,4057
11,Gogigui is speedily spooky,Gogigui,4057
1,Chicken galangal soup is devotedly functional,Chicken galangal soup,4057
15,Murg makhani is cleverly green,Murg makhani,4057
12,Beef soup is mechanically clean,Beef soup,4057
8,Spaghetti Carbonara is arrogantly cloudy,Spaghetti Carbonara,4058
18,Lasagna is rightfully additional,Lasagna,4058
7,Noodles is totally decent,Noodles,4058
10,Thai hanglay curry is greedily foregoing,Thai hanglay curry,4058
8,Tostadas is obnoxiously rigid,Tostadas,4058
9,Sushi is youthfully tight,Sushi,4059
9,Beef rendang is upbeat disgusted,Beef rendang,4059
9,Oyster omelette is silently gigantic,Oyster omelette,4059
14,Cantonese chicken soup is mysteriously special,Cantonese chicken soup,4059
5,Chicken galangal soup is fervently wasteful,Chicken galangal soup,4059
30,Bottarga is vacantly dull,Bottarga,4059
13,Bibimbap is vaguely sorry,Bibimbap,4059
10,Spring rolls is victoriously milky,Spring rolls,4059
4,Goi cuon is politely general,Goi cuon,4059
4,Chicken wings is cautiously one,Chicken wings,4060
10,Fried chicken is effectively future,Fried chicken,4060
17,Gado gado is monthly orange,Gado gado,4060
8,Chicken with chestnuts is violently flowery,Chicken with chestnuts,4060
15,Pozole is fatally political,Pozole,4060
10,Tamales is gladly decent,Tamales,4061
14,Soba is forth volatile,Soba,4061
9,Tostadas is fatally regular,Tostadas,4061
9,Donburi is unexpectedly political,Donburi,4061
5,Vegetable fried rice is zestfully asleep,Vegetable fried rice,4061
15,Banh khot is utterly spurious,Banh khot,4062
2,Dim sum is fairly classy,Dim sum,4063
8,Cha ca is adventurously wiry,Cha ca,4063
14,Vegetable fried rice is enormously vacuous,Vegetable fried rice,4063
10,Ayam penyet is intensely spiky,Ayam penyet,4063
24,Szechwan chilli chicken is silently berserk,Szechwan chilli chicken,4063
2,Tacos al pastor is quaintly unsuitable,Tacos al pastor,4063
8,Yakitori is dutifully alluring,Yakitori,4063
13,Hokkien prawn mee is really makeshift,Hokkien prawn mee,4063
9,Bun bo hue is unexpectedly regular,Bun bo hue,4063
11,Hash browns is briskly capricious,Hash browns,4063
3,Sundubu jjigae is usually defeated,Sundubu jjigae,4063
7,Spaghetti Bolognese is obnoxiously fast,Spaghetti Bolognese,4063
33,Kaya toast is reluctantly logical,Kaya toast,4063
24,Nem ran is sheepishly resolute,Nem ran,4063
18,Hot and sour soup is obnoxiously melodic,Hot and sour soup,4063
10,Gogigui is together eastern,Gogigui,4063
9,Ayam penyet is cheerfully milky,Ayam penyet,4064
31,Sushi is swiftly comprehensive,Sushi,4064
15,Ribollita is upwardly stiff,Ribollita,4064
24,Spring rolls is lively normal,Spring rolls,4064
7,Spaghetti Carbonara is clearly normal,Spaghetti Carbonara,4064
12,Pizza is yieldingly fertile,Pizza,4064
7,Pork bulgogi is suspiciously tired,Pork bulgogi,4064
26,Oyster omelette is hardly attractive,Oyster omelette,4064
14,Donburi is promptly fast,Donburi,4064
7,Mole is happily small,Mole,4064
6,Sour soup is noisily unsuitable,Sour soup,4065
13,Oyster omelette is rudely quiet,Oyster omelette,4065
12,Ribollita is constantly several,Ribollita,4065
4,Dim sum is youthfully basic,Dim sum,4065
2,Pork bulgogi is thoroughly dangerous,Pork bulgogi,4065
14,Sashimi is openly poor,Sashimi,4065
6,Chicken tikka masala is unnecessarily kind,Chicken tikka masala,4065
6,Fish stew is joyously vacuous,Fish stew,4065
8,Hot and sour soup is rapidly blue-eyed,Hot and sour soup,4066
20,Sichuan pork is valiantly clean,Sichuan pork,4066
6,Nem ran is gleefully grubby,Nem ran,4066
3,Chicken rice is tomorrow vacuous,Chicken rice,4066
1,Wanton mee is fully tart,Wanton mee,4066
25,Mole is lovingly descriptive,Mole,4067
18,Enchiladas is inwardly necessary,Enchiladas,4067
10,Bottarga is inquisitively obese,Bottarga,4067
6,Goi cuon is healthily dirty,Goi cuon,4067
9,Laksa is certainly basic,Laksa,4067
33,Risotto is mainly wide-eyed,Risotto,4067
2,Chiles en nogada is scarily sparkling,Chiles en nogada,4067
6,Macaroni and Cheese is madly colossal,Macaroni and Cheese,4067
14,Banh khot is yearningly broad,Banh khot,4067
14,Cha ca is forth changeable,Cha ca,4067
8,Rawon is fully childlike,Rawon,4067
4,Gado gado is separately synonymous,Gado gado,4068
10,Spring rolls is thoroughly loutish,Spring rolls,4068
6,Hokkien prawn mee is miserably spiteful,Hokkien prawn mee,4069
12,Rujak cingur is freely tight,Rujak cingur,4069
4,Goi cuon is coyly federal,Goi cuon,4069
28,Fish stew is hardly robust,Fish stew,4069
13,Ayam penyet is miserably decent,Ayam penyet,4069
6,Pizza is roughly deep,Pizza,4069
14,Bak kut teh is somewhat expensive,Bak kut teh,4069
30,Coconut milk curry is quizzically lazy,Coconut milk curry,4069
3,Pork bulgogi is selfishly decent,Pork bulgogi,4069
30,Tostadas is separately hateful,Tostadas,4069
8,Chole is jaggedly bright,Chole,4069
6,Natto is repeatedly loutish,Natto,4069
8,Bibimbap is altogether sorry,Bibimbap,4070
10,Chicken wings is gladly wide,Chicken wings,4070
13,Hokkien prawn mee is mortally imperfect,Hokkien prawn mee,4070
15,Sour soup is faithfully calm,Sour soup,4070
23,Tacos al pastor is unnecessarily classy,Tacos al pastor,4070
19,Ribollita is healthily null,Ribollita,4070
13,Korma is potentially small,Korma,4070
13,Korma is lively dramatic,Korma,4071
12,Cheeseburger is valiantly flat,Cheeseburger,4071
4,Kimchi is eventually faulty,Kimchi,4071
10,Enchiladas is urgently comprehensive,Enchiladas,4071
4,Tamales is clearly unsuitable,Tamales,4071
26,Fried chicken is moreover female,Fried chicken,4071
6,Enchiladas is jaggedly defeated,Enchiladas,4072
5,Sundubu jjigae is personally basic,Sundubu jjigae,4072
30,Pizza is bleakly flowery,Pizza,4072
3,Korma is jaggedly vivacious,Korma,4072
4,Bak chor mee is closely fresh,Bak chor mee,4072
19,Green curry chicken is voluntarily itchy,Green curry chicken,4072
2,Naan is partially jumpy,Naan,4072
4,Spicy stir fried octopus is upward waiting,Spicy stir fried octopus,4072
6,Curry fish head is deliberately amused,Curry fish head,4073
13,Spaghetti Aglio Olio is longingly willing,Spaghetti Aglio Olio,4073
9,Ramyeon is equally dramatic,Ramyeon,4073
1,Fried carrot cake is fortunately basic,Fried carrot cake,4073
4,Kimchi is successfully spiky,Kimchi,4073
6,Chocolate chip cookie is soon various,Chocolate chip cookie,4074
13,Tostadas is regularly mountainous,Tostadas,4074
18,Pozole is fiercely unsightly,Pozole,4074
7,Ayam goreng is openly gentle,Ayam goreng,4074
4,Natto is unabashedly lame,Natto,4074
5,Noodles is gladly sturdy,Noodles,4075
14,Ramyeon is mockingly special,Ramyeon,4075
15,Risotto is offensively rich,Risotto,4075
12,Soto is seemingly foreign,Soto,4075
6,Ayam goreng is upright spurious,Ayam goreng,4075
3,Cheeseburger is defiantly dynamic,Cheeseburger,4076
16,Ga tan is gratefully yielding,Ga tan,4076
14,Rujak cingur is deceivingly vivacious,Rujak cingur,4076
8,Sichuan pork is neatly grubby,Sichuan pork,4076
8,Bak kut teh is gracefully damaging,Bak kut teh,4076
8,Samgyeopsal is positively annoying,Samgyeopsal,4076
18,Nem ran is jovially unruly,Nem ran,4076
7,Spring rolls is wildly informal,Spring rolls,4076
4,Pork bulgogi is uselessly frightened,Pork bulgogi,4076
9,Chole is worriedly willing,Chole,4076
10,Murg makhani is swiftly synonymous,Murg makhani,4076
14,Hot and sour soup is fast substantial,Hot and sour soup,4077
5,Nasi goreng is hungrily savory,Nasi goreng,4077
10,Naan is patiently sable,Naan,4077
9,Paratha is quirkily kind,Paratha,4077
14,Lasagna is freely skillful,Lasagna,4077
14,Kimchi is silently therapeutic,Kimchi,4077
7,Ayam penyet is originally acoustic,Ayam penyet,4078
16,Kimchi is shakily daffy,Kimchi,4078
4,Laksa is again nauseating,Laksa,4078
19,Ayam goreng is safely synonymous,Ayam goreng,4078
4,Gogigui is boastfully sparkling,Gogigui,4078
11,Stir fried tofu with rice is definitely special,Stir fried tofu with rice,4078
10,Rawon is blissfully special,Rawon,4078
21,Korma is foolishly frightened,Korma,4079
19,Ribollita is victoriously foreign,Ribollita,4079
5,Hot and sour soup is ahead hysterical,Hot and sour soup,4079
13,Pork bulgogi is truthfully far-flung,Pork bulgogi,4079
12,Samgyeopsal is obnoxiously glamorous,Samgyeopsal,4079
19,Tempura is upbeat standing,Tempura,4079
18,Curry fish head is merrily evasive,Curry fish head,4079
12,Papdi chaat is separately adventurous,Papdi chaat,4080
14,Ayam goreng is tightly sparkling,Ayam goreng,4080
13,Chole is helpfully near,Chole,4080
21,Chicken wings is upright meaty,Chicken wings,4080
4,Ga tan is readily basic,Ga tan,4080
5,Sashimi is youthfully grieving,Sashimi,4080
11,Macaroni and Cheese is righteously normal,Macaroni and Cheese,4080
3,Beef rendang is frankly brainy,Beef rendang,4081
4,Nem ran is playfully orange,Nem ran,4081
7,Ramyeon is vivaciously absorbed,Ramyeon,4081
18,Chicken tikka masala is queerly secretive,Chicken tikka masala,4081
2,Isaan soup is triumphantly attractive,Isaan soup,4081
16,Kimchi stew is thus therapeutic,Kimchi stew,4081
13,Szechwan chilli chicken is excitedly wonderful,Szechwan chilli chicken,4082
23,Bibimbap is bravely attractive,Bibimbap,4082
29,Bun bo hue is bravely meek,Bun bo hue,4082
16,Gado gado is busily piquant,Gado gado,4082
16,Noodles is continually absorbed,Noodles,4082
14,Sashimi is politely equable,Sashimi,4082
4,Boiled vegetable soup is everywhere apathetic,Boiled vegetable soup,4082
14,Cheeseburger is naturally informal,Cheeseburger,4083
6,Ramen is quirkily scary,Ramen,4083
5,Murg makhani is restfully squealing,Murg makhani,4083
5,Bak chor mee is worriedly quick,Bak chor mee,4083
16,Sundubu jjigae is properly synonymous,Sundubu jjigae,4083
7,Chole is sternly foolish,Chole,4083
11,Chicken rice is bleakly equable,Chicken rice,4083
4,Palak paneer is crossly temporary,Palak paneer,4083
5,Ayam goreng is bitterly pushy,Ayam goreng,4083
8,Ayam penyet is obnoxiously somber,Ayam penyet,4083
7,Bak kut teh is widely flat,Bak kut teh,4083
2,Hokkien prawn mee is noisily immediate,Hokkien prawn mee,4083
8,Rawon is doubtfully acceptable,Rawon,4083
5,Rujak cingur is rightfully special,Rujak cingur,4083
4,Isaan soup is sheepishly basic,Isaan soup,4084
1,Kimchi stew is inwardly foreign,Kimchi stew,4085
6,Macaroni and Cheese is slightly synonymous,Macaroni and Cheese,4085
8,Bak chor mee is sedately fuzzy,Bak chor mee,4085
6,Chicken rice is originally shiny,Chicken rice,4085
22,Spaghetti Carbonara is rigidly serious,Spaghetti Carbonara,4085
8,Goi cuon is tenderly lame,Goi cuon,4085
12,Pork bulgogi is significantly spiffy,Pork bulgogi,4086
8,Green curry chicken is strictly brainy,Green curry chicken,4086
7,Sour soup is exactly full,Sour soup,4086
9,Fried carrot cake is greatly didactic,Fried carrot cake,4086
15,Ramyeon is fatally spotted,Ramyeon,4086
4,Udon is cruelly slimy,Udon,4086
11,Kimchi stew is joyously aquatic,Kimchi stew,4086
20,Hash browns is upward synonymous,Hash browns,4087
10,Kaya toast is basically colorful,Kaya toast,4087
4,Laksa is owlishly basic,Laksa,4087
11,Kimchi is seldom loutish,Kimchi,4087
24,Samgyeopsal is kindly necessary,Samgyeopsal,4088
7,Sushi is tediously lazy,Sushi,4088
3,Tamales is always staking,Tamales,4088
5,Pho is roughly shiny,Pho,4088
9,Spaghetti Bolognese is previously null,Spaghetti Bolognese,4089
2,Stir fried tofu with rice is everywhere confident,Stir fried tofu with rice,4089
3,Beef rendang is voluntarily foreign,Beef rendang,4089
5,Pizza is never imperfect,Pizza,4089
16,Donburi is dramatically savory,Donburi,4089
9,Wanton mee is wholly absorbed,Wanton mee,4089
18,Mole is enthusiastically roasted,Mole,4090
16,Hash browns is positively mundane,Hash browns,4090
17,Curry fish head is already normal,Curry fish head,4090
19,Chocolate chip cookie is madly tangible,Chocolate chip cookie,4090
6,Pizza is upliftingly mean,Pizza,4091
16,Boiled vegetable soup is vacantly null,Boiled vegetable soup,4091
6,Spring rolls is normally tender,Spring rolls,4091
24,Banh xeo is not fertile,Banh xeo,4091
7,Paratha is sedately quiet,Paratha,4092
8,Laksa is thankfully unruly,Laksa,4092
21,Korma is unimpressively delicate,Korma,4092
4,Coconut milk curry is crossly intelligent,Coconut milk curry,4092
6,Cheeseburger is thoughtfully tart,Cheeseburger,4092
3,Kimchi is finally apathetic,Kimchi,4092
6,Tofu is completely frightened,Tofu,4092
6,Doughnut is unabashedly dynamic,Doughnut,4092
13,Chicken tikka masala is kiddingly near,Chicken tikka masala,4092
28,Pork bulgogi is necessarily jumpy,Pork bulgogi,4093
9,Sour soup is thankfully amuck,Sour soup,4093
7,Chicken wings is painfully decent,Chicken wings,4093
8,Spaghetti Aglio Olio is gleefully fixed,Spaghetti Aglio Olio,4093
15,Pizza is really colorful,Pizza,4093
16,Chicken with chestnuts is instead alcoholic,Chicken with chestnuts,4093
14,Udon is silently automatic,Udon,4093
11,Beef rendang is surprisingly rustic,Beef rendang,4093
28,Chocolate chip cookie is currently foreign,Chocolate chip cookie,4093
12,Rau muong is tremendously shaky,Rau muong,4094
2,Fish stew is potentially glamorous,Fish stew,4094
2,Curry fish head is vivaciously null,Curry fish head,4094
4,Ribollita is unimpressively attractive,Ribollita,4094
9,Rawon is wildly pushy,Rawon,4094
22,Green curry chicken is directly brainy,Green curry chicken,4094
10,Isaan soup is unbearably alcoholic,Isaan soup,4094
8,Spaghetti Carbonara is suddenly willing,Spaghetti Carbonara,4094
10,Coconut milk curry is rarely normal,Coconut milk curry,4094
9,Bibimbap is unabashedly loutish,Bibimbap,4094
7,Pork bulgogi is fiercely political,Pork bulgogi,4095
14,Sate is noisily tense,Sate,4095
13,Ayam penyet is violently grieving,Ayam penyet,4095
3,Kimchi stew is upside-down didactic,Kimchi stew,4095
17,Natto is quarrelsomely psychedelic,Natto,4095
8,Ga tan is ferociously various,Ga tan,4095
6,Beef rendang is tightly tranquil,Beef rendang,4095
13,Fried carrot cake is easily dreary,Fried carrot cake,4096
15,Kimchi is fervently nauseating,Kimchi,4096
8,Chicken tikka masala is madly graceful,Chicken tikka masala,4096
10,Vegetable fried rice is moreover true,Vegetable fried rice,4096
25,Cao lau is totally childlike,Cao lau,4096
28,Hash browns is mainly expensive,Hash browns,4096
5,Ayam penyet is slightly languid,Ayam penyet,4096
3,Lasagna is personally willing,Lasagna,4096
17,Paratha is reassuringly big,Paratha,4097
22,Korma is also freezing,Korma,4097
12,Chilaquiles is steadily federal,Chilaquiles,4097
7,Cha ca is tightly deeply,Cha ca,4097
5,Goi cuon is instead flowery,Goi cuon,4098
11,Rujak cingur is unfortunately acidic,Rujak cingur,4098
9,Bibimbap is helpfully jobless,Bibimbap,4098
12,Pizza is judgementally federal,Pizza,4098
26,Apple pie is fast delicious,Apple pie,4098
6,Paratha is seriously itchy,Paratha,4098
19,Pozole is effectively vacuous,Pozole,4098
6,Noodles is often synonymous,Noodles,4098
31,Elote is triumphantly jumpy,Elote,4099
4,Papdi chaat is correctly broad,Papdi chaat,4099
4,Fried carrot cake is gratefully vivacious,Fried carrot cake,4099
17,Spicy stir fried octopus is bravely zany,Spicy stir fried octopus,4099
2,Naan is lively obese,Naan,4099
7,Enchiladas is delightfully fixed,Enchiladas,4099
13,Pork bulgogi is almost immediate,Pork bulgogi,4100
19,Chocolate chip cookie is uselessly tight,Chocolate chip cookie,4100
25,Banh xeo is joyfully dapper,Banh xeo,4100
5,Macaroni and Cheese is openly repulsive,Macaroni and Cheese,4100
5,Ga tan is early odd,Ga tan,4100
13,French fries is possibly sudden,French fries,4100
10,Soto is gladly weak,Soto,4100
12,Bak chor mee is sleepily hesitant,Bak chor mee,4101
22,Wanton mee is terribly dangerous,Wanton mee,4101
17,Beef rendang is righteously spiffy,Beef rendang,4101
11,Sichuan pork is frenetically foregoing,Sichuan pork,4101
13,Fried chicken is similarly makeshift,Fried chicken,4101
2,Pork bulgogi is fairly absorbed,Pork bulgogi,4101
14,Cha ca is yieldingly deranged,Cha ca,4101
11,Hot and sour soup is dearly dynamic,Hot and sour soup,4101
5,Sashimi is wholly shocking,Sashimi,4101
9,Tandoori chicken is ferociously classy,Tandoori chicken,4101
8,Gogigui is widely foreign,Gogigui,4101
2,French fries is swiftly milky,French fries,4102
10,Sour soup is devotedly deep,Sour soup,4102
8,Yakitori is necessarily apathetic,Yakitori,4102
6,Tacos al pastor is deftly acidic,Tacos al pastor,4102
14,Cha ca is wetly tight,Cha ca,4103
8,Cao lau is quaintly realistic,Cao lau,4103
8,Pozole is again quiet,Pozole,4103
20,Chicken wings is seriously curious,Chicken wings,4103
20,Coconut milk curry is truthfully colorful,Coconut milk curry,4103
15,Soba is slightly acceptable,Soba,4103
5,Ramen is uselessly purple,Ramen,4103
3,Udon is painfully alcoholic,Udon,4103
5,Wanton mee is hourly general,Wanton mee,4103
19,Szechwan chilli chicken is suspiciously jobless,Szechwan chilli chicken,4103
16,Nem ran is blissfully threatening,Nem ran,4103
10,Natto is tediously spurious,Natto,4104
14,Oyster omelette is worriedly staking,Oyster omelette,4104
13,Steak is vivaciously dreary,Steak,4104
15,Polenta is enormously obtainable,Polenta,4104
10,Chicken tikka masala is yearningly actually,Chicken tikka masala,4105
4,Dim sum is then cumbersome,Dim sum,4105
15,Chiles en nogada is vacantly wandering,Chiles en nogada,4105
